-----------------------
CLASS       class       
ID          Test        
LBRACE      {           
VTYPE       int         
ID          sum         
LPAREN      (           
VTYPE       int         
ID          a           
COMMA       ,           
VTYPE       int         
ID          b           
RPAREN      )           
LBRACE      {           
RETURN      return      
ID          a           
OP          +           
ID          b           
SEMI        ;           
RBRACE      }           
VTYPE       int         
ID          main        
LPAREN      (           
VTYPE       string      
LBRACKET    [           
RBRACKET    ]           
ID          args        
RPAREN      )           
LBRACE      {           
VTYPE       int         
ID          a           
ASSIGN      =           
INTEGER     3           
SEMI        ;           
VTYPE       int         
ID          b           
ASSIGN      =           
INTEGER     4           
SEMI        ;           
ID          Test        
ID          myTest      
ASSIGN      =           
ID          new         
ID          Test        
LPAREN      (           
RPAREN      )           
SEMI        ;           
RETURN      return      
INTEGER     0           
SEMI        ;           
RBRACE      }           
RBRACE      }           
-----------------------
